FAA Airport,Latitude,Longitude,ElevationInFeet,NOP Facility
EDW,34.9203,-117.9027,2310.5,NO MATCH
EGE,39.6426,-106.9180,6547.4,ZDV
ELM,42.1599,-76.8916,954.5,ELM
ELP,31.8072,-106.3780,3961.6,ELP
EMT,34.0861,-118.0350,295.6,SCT
ENA,60.5731,-151.2450,99.6,NO MATCH
ENW,42.5957,-87.9278,742.4,MKE
ERI,42.0831,-80.1739,732.1,BUF
ESN,38.8042,-76.0690,72.2,PCT
EUG,44.1246,-123.2120,373.7,EUG
EVB,29.0557,-80.9489,10.8,DAB
EVV,38.0370,-87.5324,421.9,EVV
EWB,41.6761,-70.9569,79.2,G90
EWN,35.0730,-77.0429,18.0,NO MATCH
EWR,40.6925,-74.1687,17.4,N90
EYW,24.5561,-81.7596,2.8,NO MATCH
FAI,64.8151,-147.8560,439.0,NO MATCH
FAR,46.9207,-96.8158,901.3,FAR
FAT,36.7762,-119.7180,335.5,FAT
FAY,34.9912,-78.8803,189.4,FAY
FCM,44.8272,-93.4571,906.3,M98
FDK,39.4176,-77.3743,306.0,PCT
FFZ,33.4608,-111.7280,1394.0,P50
FIN,29.4674,-81.2063,33.1,DAB
FLG,35.1385,-111.6710,7014.7,P50
FLL,26.0726,-80.1527,65.0,MIA
FLO,34.1854,-79.7239,146.6,FLO
FMH,41.6506,-70.5202,130.2,A90
FMN,36.7412,-108.2300,5506.4,ZDV
FMY,26.5866,-81.8633,17.1,RSW
FNT,42.9654,-83.7436,782.3,AZA
FOE,38.9509,-95.6636,1077.9,ZKC
FOK,40.8437,-72.6318,66.1,N90
FPR,27.4951,-80.3683,23.4,PBI
FRG,40.7288,-73.4134,80.3,N90
FSD,43.5820,-96.7419,1429.9,FSD
FSM,35.3366,-94.3674,469.0,FSM
FTW,32.8198,-97.3624,710.1,D10
FTY,33.7791,-84.5214,841.1,A80
FUL,33.8720,-117.9800,96.0,SCT
FWA,40.9785,-85.1951,814.5,FWA
FWS,32.5652,-97.3081,700.4,D10
FXE,26.1973,-80.1707,13.4,MIA
FYV,36.0051,-94.1701,1252.0,FSM
GCK,37.9275,-100.7240,2890.8,ZKC
GCN,35.9524,-112.1470,6608.7,ZLA
GEG,47.6199,-117.5340,2385.0,GEG
GEU,33.5269,-112.2950,1071.3,NO MATCH
GFK,47.9493,-97.1761,844.6,NO MATCH
GGG,32.3840,-94.7115,365.5,GGG
GJT,39.1224,-108.5270,4857.7,D01
GKY,32.6639,-97.0943,628.2,D10
GLH,33.4829,-90.9856,130.5,ZME
GLS,29.2653,-94.8604,5.6,I90
GMU,34.8479,-82.3500,1048.0,GSP
GNV,29.6901,-82.2718,151.4,JAX
GON,41.3301,-72.0451,9.1,G90
GPI,48.3105,-114.2560,2976.8,ZLC
GPM,32.6988,-97.0469,588.4,D10
GPT,30.4073,-89.0701,28.6,GPT
GRB,44.4851,-88.1296,695.1,GRB
GRI,40.9675,-98.3096,1847.1,NO MATCH
GRR,42.8808,-85.5228,793.6,AZO
GSN,15.1190,145.7290,215.1,NO MATCH
GSO,36.0978,-79.9373,925.6,GSO
GSP,34.8957,-82.2189,963.8,GSP
GTF,47.4820,-111.3710,3680.0,GTF
GTR,33.4503,-88.5914,264.0,NO MATCH
GTU,30.6788,-97.6794,789.5,AUS
GUM,13.4834,144.7960,304.5,NO MATCH
GYH,34.7583,-82.3764,955.9,GSP
GYR,33.4225,-112.3760,968.9,NO MATCH
GYY,41.6163,-87.4128,596.8,C90
HEF,38.7214,-77.5154,192.3,PCT
HFD,41.7367,-72.6494,18.3,Y90
HGR,39.7079,-77.7295,703.1,PCT
HHR,33.9228,-118.3350,65.9,SCT
HIO,45.5404,-122.9500,208.0,P80
HKS,32.3345,-90.2222,341.3,JAN
HKY,35.7411,-81.3895,1189.6,ZTL
HLG,40.1750,-80.6463,1194.4,PIT
HLN,46.6068,-111.9830,3877.3,NO MATCH
HND,35.9728,-115.1340,2491.5,LAS
HNL,21.3187,-157.9224,12.9,NO MATCH
HOB,32.6875,-103.2170,3660.7,ZFW
HOU,29.6454,-95.2789,46.3,I90
HPN,41.0670,-73.7076,438.9,N90
HRL,26.2285,-97.6544,36.3,CRP
HSA,30.3678,-89.4546,23.3,GPT
HSV,34.6372,-86.7751,628.9,HSV
HTS,38.3667,-82.5580,828.3,HTS
HUF,39.4515,-87.3076,589.1,HUF
HUM,29.5665,-90.6604,9.0,MSY
HUT,38.0655,-97.8606,1542.5,ICT
HVN,41.2637,-72.8868,12.6,N90
HWD,37.6592,-122.1220,52.1,NCT
HWO,26.0012,-80.2407,8.5,MIA
HXD,32.2244,-80.6975,19.4,SAV
HYA,41.6693,-70.2804,54.1,A90
HYI,29.8927,-97.8630,594.7,AUS
IAD,38.9445,-77.4558,313.0,PCT
IAG,43.1073,-78.9462,592.3,BUF
IAH,29.9844,-95.3414,95.8,I90
ICT,37.6499,-97.4331,1332.5,ICT
IDA,43.5146,-112.0710,4743.9,ZLC
IFP,35.1574,-114.5600,707.1,ZLA
ILG,39.6787,-75.6065,79.9,PHL
ILM,34.2706,-77.9026,31.7,ILM
IND,39.7173,-86.2944,796.2,IND
INT,36.1337,-80.2220,969.4,GSO
IPT,41.2418,-76.9211,528.1,ZNY
ISM,28.2898,-81.4371,82.1,MCO
ISO,35.3314,-77.6088,92.9,NO MATCH
ISP,40.7952,-73.1002,98.7,N90
ITH,42.4910,-76.4584,1099.0,ELM
ITO,19.7214,-155.0480,37.6,NO MATCH
IWA,33.3078,-111.6550,1383.9,P50
IXD,38.8309,-94.8903,1087.3,MCI
JAC,43.6073,-110.7380,6450.7,ZLC
JAN,32.3112,-90.0759,346.4,JAN
JAX,30.4941,-81.6879,29.2,JAX
JEF,38.5912,-92.1561,549.0,SGF
JFK,40.6398,-73.7789,12.7,N90
JLN,37.1518,-94.4983,977.7,ZKC
JNU,58.3550,-134.5760,25.3,NO MATCH
JQF,35.3878,-80.7091,704.7,CLT
JRF,21.3074,-158.0700,30.0,NO MATCH
JVL,42.6203,-89.0416,807.7,RFD
JWN,36.1830,-86.8865,501.0,BNA
JXN,42.2598,-84.4594,1000.8,AZA
