BOOKMARK_NUMBER_VC,TAG_NAME_VC,TITLE_VC,ID_N
ZDV-B-2018/02/17-0208,GREEN,UAL2076 UAL440 - ZDV,507267
P80-B-2018/02/18-0856,GREEN,FFT788 QXE2389 - P80,507268
ZDC-B-2018/02/11-4732,GREEN,EIN119 DAL1093 - ZDC,507273
ZME-B-2018/02/10-8273,GREEN,ASQ439T FDX1257 - ZME,507275
M98-B-2018/02/10-4671,GREEN,DAL1346 DAL2332 - M98,507280
ZMA-B-2018/02/15-2902,GREEN,N92103 N151BL - ZMA,507288
PIT-B-2018/02/08-2417,GREEN,CH11 ST7 - PIT,507290
ZBW-B-2018/02/17-4099,GREEN,JBU1282 KAP15 - ZBW,507291
MAF-B-2018/02/07-9981,GREEN,X691 X3SM - MAF,507292
D10-B-2018/02/12-8906,GREEN,EJA775 unknown - D10,507314
ZDV-B-2018/02/11-9278,GREEN,LOF4734 UAL1193 - ZDV,507322
A80-B-2018/02/12-0528,GREEN,FFT1442 JIA5545 - A80,507328
ZTL-B-2018/02/17-5231,GREEN,DAL977 AAL1163 - ZTL,507334
BFL-B-2018/02/16-0118,GREEN,N6625N N270CC - BFL,507343
D10-B-2018/02/12-4987,GREEN,N553RA unknown - D10,507349
ZAB-B-2018/02/18-8533,GREEN,AAL1878 AAL1700 - ZAB,507356
RDU-B-2018/02/08-9762,GREEN,N715JS N63YB - RDU,507364
RSW-B-2018/02/11-5047,GREEN,unknown N127KW - RSW,507367
ZMA-B-2018/02/13-2963,GREEN,NKS525 N383TA - ZMA,507372
RFD-B-2018/02/13-3083,GREEN,XG72268 N724R - RFD,507375
M98-B-2018/02/16-2341,GREEN,unknown DAL1578 - M98,507377
ZLA-B-2018/02/17-7934,GREEN,UAL324 N422CS - ZLA,507380
MDT-B-2018/02/14-8015,GREEN,unknown N16RM - MDT,507388
GRR-B-2018/02/12-1888,GREEN,unknown N35LW - GRR,507399
PIT-B-2018/02/09-4905,GREEN,ST5 unknown - PIT,507405
D01-B-2018/02/13-0000,GREEN,unknown TGR47 - D01,507415
ZHU-B-2018/02/10-9042,GREEN,UAL258 ASH2656 - ZHU,507425
SAT-B-2018/02/15-0510,GREEN,unknown CARD11 - SAT,507427
LAN-B-2018/02/16-8624,GREEN,unknown N47815 - LAN,507431
D10-B-2018/02/13-1606,GREEN,AIR1 FW1 - D10,507448
M98-B-2018/02/09-5219,GREEN,GTI592 SKW7382 - M98,507458
ZFW-B-2018/02/09-1036,GREEN,TASI141 TASI211 - ZFW,507466
ZDV-B-2018/02/17-7734,GREEN,BTQ563 RPA3615 - ZDV,507468
ZHU-B-2018/02/10-5130,GREEN,ASQ3954 UAL879 - ZHU,507477
ZDC-B-2018/02/11-1460,GREEN,ASH6093 UAL1055 - ZDC,507484
JAX-B-2018/02/15-5624,GREEN,unknown VIXN702 - JAX,507485
RSW-B-2018/02/17-8910,GREEN,N80298 unknown - RSW,507490
JAX-B-2018/02/15-7379,GREEN,unknown N6180W - JAX,507493
ZHU-B-2018/02/11-8545,GREEN,UAL1768 ASQ4196 - ZHU,507501
ZHU-B-2018/02/11-9269,GREEN,ASH6031 UAL2113 - ZHU,507503
ZOA-B-2018/02/13-6065,GREEN,ASA1127 UAL1541 - ZOA,507507
ZOA-B-2018/02/16-6249,GREEN,UAL781 SKW5309 - ZOA,507515
ZME-B-2018/02/17-5421,GREEN,FDX1347 FDX60 - ZME,507522
ZFW-B-2018/02/16-9729,GREEN,N338QS SWA5781 - ZFW,507535
ZFW-B-2018/02/16-4294,GREEN,AAL1775 FDY2773 - ZFW,507544
DLH-B-2018/02/09-9532,GREEN,SPAD01 unknown - DLH,507577
ZOB-B-2018/02/12-1189,GREEN,GJS6253 SKW4745 - ZOB,507578
U90-B-2018/02/14-1645,GREEN,GYPSY1 unknown - U90,507589
ZBW-B-2018/02/08-6292,GREEN,KAP77 UAL655 - ZBW,507593
ZOA-B-2018/02/14-3705,GREEN,DAL2488 DAL745 - ZOA,507604
P80-B-2018/02/07-0989,GREEN,unknown N016 - P80,507608
NCT-B-2018/02/17-4426,GREEN,unknown N517SS - NCT,507666
ZLA-B-2018/02/12-8023,GREEN,AAL1138 JBU523 - ZLA,507667
ZMA-B-2018/02/12-9798,GREEN,AAL2629 AAL1006 - ZMA,507674
I90-B-2018/02/16-6343,GREEN,N3794K N6983H - I90,507678
ZMA-B-2018/02/12-2851,GREEN,AAL57 AAL1322 - ZMA,507688
ZDC-B-2018/02/11-2966,GREEN,AWI3803 AWI3851 - ZDC,507694
ABI-B-2018/02/08-0806,GREEN,COWBY11 COWBY12 - ABI,507714
ZMA-B-2018/02/14-8461,GREEN,AAL1481 SWR64 - ZMA,507720
ZOA-B-2018/02/15-9976,GREEN,N371FP JBU15 - ZOA,507726
ZBW-B-2018/02/17-6086,GREEN,CNS912 N5267H - ZBW,507733
MWH-B-2018/02/15-8409,GREEN,unknown X9182S - MWH,507735
AUS-B-2018/02/12-5143,GREEN,Z9GB N667KC - AUS,507737
ZDC-B-2018/02/16-4224,GREEN,ASH6162 N1655M - ZDC,507741
I90-B-2018/02/12-3750,GREEN,UAL2116 AAL2353 - I90,507750
ELP-B-2018/02/14-5645,GREEN,ALOMA63 TCAV10 - ELP,507752
EUG-B-2018/02/13-9609,GREEN,unknown N8885W - EUG,507755
P31-B-2018/02/13-7057,GREEN,RN096 RN116 - P31,507779
ZTL-B-2018/02/17-0598,GREEN,RPA4662 AAL1785 - ZTL,507787
MDT-B-2018/02/14-2226,GREEN,N2334J unknown - MDT,507799
ZHU-B-2018/02/10-7779,GREEN,ASH6288 UAL1810 - ZHU,507805
ZAU-B-2018/02/13-4994,GREEN,ENY3536 AWI3921 - ZAU,507817
A90-B-2018/02/17-7387,GREEN,KAP444 N992RB - A90,507822
JAX-B-2018/02/15-5588,GREEN,unknown VIXN702 - JAX,507825
JAX-B-2018/02/12-5215,GREEN,unknown N518 - JAX,507834
N90-B-2018/02/10-8377,GREEN,LBRTY4 LBRTY1 - N90,507843
ZDC-B-2018/02/11-1423,GREEN,ASH6093 UAL546 - ZDC,507855
ZSE-B-2018/02/07-6211,GREEN,ASA60 QXE2219 - ZSE,507865
SBA-B-2018/02/09-6263,GREEN,unknown N633TA - SBA,507871
DAB-B-2018/02/16-8249,GREEN,RDDL425 PHXA10 - DAB,507872
ZLA-B-2018/02/13-3963,GREEN,SWA6128 N13171 - ZLA,507876
ZHU-B-2018/02/17-9986,GREEN,AAL1492 N611NC - ZHU,507880
ZMP-B-2018/02/10-5484,GREEN,RPA4636 FFT462 - ZMP,507884
TOL-B-2018/02/12-2599,GREEN,TWR N2US - TOL,507888
M98-B-2018/02/14-2271,GREEN,EJA307 SKW412H - M98,507913
LAN-B-2018/02/12-6954,GREEN,PO47 unknown - LAN,507920
SAT-B-2018/02/16-4074,GREEN,unknown GNARLY1 - SAT,507930
ZNY-B-2018/02/09-2513,GREEN,DAL1773 UAE201 - ZNY,507940
BFL-B-2018/02/11-8345,GREEN,N554MM N171PF - BFL,507942
TPA-B-2018/02/13-0377,GREEN,PIRAT21 unknown - TPA,507945
SAV-B-2018/02/12-8473,GREEN,BOBCT31 unknown - SAV,507947
BHM-B-2018/02/18-9932,GREEN,unknown N737EB - BHM,507960
N90-B-2018/02/16-7761,GREEN,ZIPP42 unknown - N90,507964
ZSE-B-2018/02/07-2985,GREEN,PXT500 SWA6125 - ZSE,507965
EUG-B-2018/02/15-0210,GREEN,unknown N5251F - EUG,507968
ZLA-B-2018/02/16-3124,GREEN,SWA1158 SWA197 - ZLA,507972
ZLA-B-2018/02/13-5307,GREEN,CPZ6013 AAL2460 - ZLA,507974
CLT-B-2018/02/17-0723,GREEN,ASQ5613 RPA4662 - CLT,507986
ZMA-B-2018/02/15-9096,GREEN,N701SE DCM6009 - ZMA,507992
GSP-B-2018/02/14-9627,GREEN,N15WS SLAYR30 - GSP,507996
COS-B-2018/02/08-1530,GREEN,N7899N BOLT79 - COS,508008
SBA-B-2018/02/10-7502,GREEN,C80M unknown - SBA,508013
ZAB-B-2018/02/17-8584,GREEN,N155AP N270CC - ZAB,508017
I90-B-2018/02/15-1132,GREEN,PIPL9 PIP7 - I90,508020
MSY-B-2018/02/13-2257,GREEN,ZAMD6 unknown - MSY,508025
RSW-B-2018/02/17-5956,GREEN,N444ND N4624H - RSW,508035
ZHU-B-2018/02/10-0990,GREEN,UAL1099 UAL4 - ZHU,508043
MYR-B-2018/02/17-6119,GREEN,N110CE N246MT - MYR,508063
ZAU-B-2018/02/16-6663,GREEN,SWA5401 FRG9983 - ZAU,508072
MYR-B-2018/02/12-8336,GREEN,GULF21 unknown - MYR,508076
N90-B-2018/02/17-1385,GREEN,LBRTY1 unknown - N90,508077
P80-B-2018/02/10-7229,GREEN,unknown N52371 - P80,508081
A90-B-2018/02/09-2734,GREEN,MET1 SN25 - A90,508082
GEG-B-2018/02/07-9042,GREEN,XEXPO91 XEXPO92 - GEG,508085
LAN-B-2018/02/18-3936,GREEN,X5CF N201UB - LAN,508090
ZMP-B-2018/02/12-4051,GREEN,DAL899 SKW7447 - ZMP,508091
ZBW-B-2018/02/08-1631,GREEN,KAP55 JZA454 - ZBW,508093
TUL-B-2018/02/09-2443,GREEN,MN435LL unknown - TUL,508104
RSW-B-2018/02/11-5167,GREEN,JTL940 N127KW - RSW,508108
RSW-B-2018/02/17-2449,GREEN,N523C N682DW - RSW,508117
ZLA-B-2018/02/14-6412,GREEN,N2302Y N711NV - ZLA,508129
SAV-B-2018/02/15-5544,GREEN,unknown DMND34 - SAV,508134
ZMA-B-2018/02/17-6061,GREEN,AAL113 AVA038 - ZMA,508144
ABI-B-2018/02/16-1105,GREEN,HAVOC10 unknown - ABI,508146
BOI-B-2018/02/07-1536,GREEN,unknown CANON31 - BOI,508169
ZTL-B-2018/02/11-5392,GREEN,DAL2631 DAL1836 - ZTL,508170
RSW-B-2018/02/10-3540,GREEN,unknown N9528C - RSW,508175
ZMP-B-2018/02/11-8323,GREEN,SKW4295 DAL320 - ZMP,508192
ZMA-B-2018/02/16-5325,GREEN,AAL1685 GBX901 - ZMA,508195
T75-B-2018/02/08-6841,GREEN,BKN20 unknown - T75,508204
ZNY-B-2018/02/09-5213,GREEN,AAL1948 PDT4858 - ZNY,508207
LFT-B-2018/02/15-4006,GREEN,N333MC unknown - LFT,508210
SBA-B-2018/02/17-9067,GREEN,N2918S N98BR - SBA,508218
FAR-B-2018/02/10-4117,GREEN,unknown PO36 - FAR,508220
ZMA-B-2018/02/13-8702,GREEN,N739UA N172LN - ZMA,508229
C90-B-2018/02/16-4427,GREEN,N8188Y unknown - C90,508235
D10-B-2018/02/10-2727,GREEN,AAL2179 TAI440 - D10,508236
FNT-B-2018/02/08-8138,GREEN,N7930F unknown - FNT,508240
MDT-B-2018/02/12-5340,GREEN,N4483T unknown - MDT,508253
ZOA-B-2018/02/13-3223,GREEN,ASA382 ASA1050 - ZOA,508258
ZHU-B-2018/02/18-2021,GREEN,ASQ4120 ASH6136 - ZHU,508264
A80-B-2018/02/12-4784,GREEN,SKW4986 AFR682 - A80,508268
CAK-B-2018/02/17-1102,GREEN,unknown N115KS - CAK,508280
COS-B-2018/02/09-6011,GREEN,R85540 unknown - COS,508281
